37.5     0.8     0.0
33.0     -41.7     0.0
22.5     -9.2     0.0
22.5     -24.2     0.0
20.0     15.8     0.0
12.5     22.8     0.0
12.5     0.8     0.0
11.0     10.8     0.0
11.0     -29.2     0.0
7.5     -32.7     0.0
5.5     0.8     0.0
5.5     -9.2     0.0
5.5     -14.2     0.0
5.0     8.3     0.0
5.5     25.8     0.0
7.5     -54.2     0.0
3.5     -29.2     0.0
3.5     0.8     0.0
3.5     -14.2     0.0
3.5     -24.2     0.0
1.5     15.8     0.0
-0.5     -44.2     0.0
1.5     -34.2     0.0
1.5     5.8     0.0
1.5     -4.2     0.0
1.5     -9.2     0.0
1.5     -19.2     0.0
-0.5     0.8     0.0
-0.5     -9.2     0.0
-0.5     -19.2     0.0
-6.0     -29.2     0.0
-7.5     23.3     0.0
-7.5     0.8     0.0
-7.5     -19.2     0.0
-15.0     -34.2     0.0
-15.0     30.8     0.0
-17.5     5.8     0.0
-17.5     -9.2     0.0
-28.0     23.3     0.0
-32.5     0.8     0.0
